|Posición|Descripcion|conc
2855|511119|Tejidos de lana cardada o pelo fino cardado, con un contenido de lana o pelo fino >= 85% en ...|511119 - Tejidos de lana cardada o pelo fino cardado, con un contenido de lana o pelo fino >= 85% en ...
2856|511120|Tejidos con un alto contenido de lana cardada o pelo fino cardado, pero < 85% en peso, mezclados ...|511120 - Tejidos con un alto contenido de lana cardada o pelo fino cardado, pero < 85% en peso, mezclados ...
2857|511130|Tejidos con un alto contenido de lana cardada o pelo fino cardado, pero < 85% en peso, mezclados ...|511130 - Tejidos con un alto contenido de lana cardada o pelo fino cardado, pero < 85% en peso, mezclados ...
2858|511190|Tejidos con un alto contenido de lana cardada o pelo fino cardado, pero < 85% en peso (exc. ...|511190 - Tejidos con un alto contenido de lana cardada o pelo fino cardado, pero < 85% en peso (exc. ...
2859|511211|Tejidos de lana peinada o pelo fino peinado, con un contenido de lana o pelo fino >= 85% y ...|511211 - Tejidos de lana peinada o pelo fino peinado, con un contenido de lana o pelo fino >= 85% y ...
2860|511219|Tejidos de lana peinada o pelo fino peinado, con un contenido de lana o pelo fino >= 85% y ...|511219 - Tejidos de lana peinada o pelo fino peinado, con un contenido de lana o pelo fino >= 85% y ...
2861|511220|Tejidos con un alto contenido de lana peinada o pelo fino peinado, pero < 85% en peso, mezclados ...|511220 - Tejidos con un alto contenido de lana peinada o pelo fino peinado, pero < 85% en peso, mezclados ...
2862|511230|Tejidos con un alto contenido de lana peinada o pelo fino peinado, pero < 85% en peso, mezclados ...|511230 - Tejidos con un alto contenido de lana peinada o pelo fino peinado, pero < 85% en peso, mezclados ...
2863|511290|Tejidos con un alto contenido de lana peinada o pelo fino peinado, pero < 85% en peso (exc. ...|511290 - Tejidos con un alto contenido de lana peinada o pelo fino peinado, pero < 85% en peso (exc. ...
2864|511300|Tejidos de pelo ordinario o de crin|511300 - Tejidos de pelo ordinario o de crin
2865|520100|Algodón sin cardar ni peinar|520100 - Algodón sin cardar ni peinar
2866|520210|Desperdicios de hilados de algodón|520210 - Desperdicios de hilados de algodón
2867|520291|Hilachas de algodón|520291 - Hilachas de algodón
2868|520299|Desperdicios de algodón (exc. desperdicios de hilados e hilachas)|520299 - Desperdicios de algodón (exc. desperdicios de hilados e hilachas)
2869|520300|Algodón cardado o peinado|520300 - Algodón cardado o peinado
2870|520411|Hilo de coser de algodón, con un contenido de algodón >= 85% en peso (exc. acondicionado para ...|520411 - Hilo de coser de algodón, con un contenido de algodón >= 85% en peso (exc. acondicionado para ...
2871|520419|Hilo de coser de algodón, con un alto contenido de algodón, pero < 85% en peso (exc. acondicionado ...|520419 - Hilo de coser de algodón, con un alto contenido de algodón, pero < 85% en peso (exc. acondicionado ...
2872|520420|Hilo de coser de algodón, acondicionado para la venta al por menor|520420 - Hilo de coser de algodón, acondicionado para la venta al por menor
2873|520511|Hilados de algodón, sencillos, de fibras sin peinar, con un contenido de algodón >= 85% en ...|520511 - Hilados de algodón, sencillos, de fibras sin peinar, con un contenido de algodón >= 85% en ...
2874|520512|Hilados de algodón, sencillos, de fibras sin peinar, con un contenido de algodón >= 85% en ...|520512 - Hilados de algodón, sencillos, de fibras sin peinar, con un contenido de algodón >= 85% en ...
2875|520513|Hilados de algodón, sencillos, de fibras sin peinar, con un contenido de algodón >= 85% en ...|520513 - Hilados de algodón, sencillos, de fibras sin peinar, con un contenido de algodón >= 85% en ...
2876|520514|Hilados de algodón, sencillos, de fibras sin peinar, con un contenido de algodón >= 85% en ...|520514 - Hilados de algodón, sencillos, de fibras sin peinar, con un contenido de algodón >= 85% en ...
2877|520515|Hilados de algodón, sencillos, de fibras sin peinar, con un contenido de algodón >= 85% en ...|520515 - Hilados de algodón, sencillos, de fibras sin peinar, con un contenido de algodón >= 85% en ...
2878|520521|Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...|520521 - Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...
2879|520522|Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...|520522 - Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...
2880|520523|Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...|520523 - Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...
2881|520524|Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...|520524 - Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...
2882|520526|Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...|520526 - Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...
2883|520527|Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...|520527 - Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...
2884|520528|Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...|520528 - Hilados de algodón, sencillos, de fibras peinadas, con un contenido de algodón >= 85% en peso, ...
2885|520531|Hilados de algodón, retorcidos o cableados, de fibras sin peinar, con un contenido de algodón ...|520531 - Hilados de algodón, retorcidos o cableados, de fibras sin peinar, con un contenido de algodón ...
2886|520532|Hilados de algodón, retorcidos o cableados, de fibras sin peinar, con un contenido de algodón ...|520532 - Hilados de algodón, retorcidos o cableados, de fibras sin peinar, con un contenido de algodón ...
2887|520533|Hilados de algodón, retorcidos o cableados, de fibras sin peinar, con un contenido de algodón ...|520533 - Hilados de algodón, retorcidos o cableados, de fibras sin peinar, con un contenido de algodón ...
2888|520534|Hilados de algodón, retorcidos o cableados, de fibras sin peinar, con un contenido de algodón ...|520534 - Hilados de algodón, retorcidos o cableados, de fibras sin peinar, con un contenido de algodón ...
2889|520535|Hilados de algodón, retorcidos o cableados, de fibras sin peinar, con un contenido de algodón ...|520535 - Hilados de algodón, retorcidos o cableados, de fibras sin peinar, con un contenido de algodón ...
2890|520541|Hilados de algodón, retorcidos o cableados, de fibras peinadas, con un contenido de algodón ...|520541 - Hilados de algodón, retorcidos o cableados, de fibras peinadas, con un contenido de algodón ...
2891|520542|Hilados de algodón, retorcidos o cableados, de fibras peinadas, con un contenido de algodón ...|520542 - Hilados de algodón, retorcidos o cableados, de fibras peinadas, con un contenido de algodón ...
2892|520543|Hilados de algodón, retorcidos o cableados, de fibras peinadas, con un contenido de algodón ...|520543 - Hilados de algodón, retorcidos o cableados, de fibras peinadas, con un contenido de algodón ...
2893|520544|Hilados de algodón, retorcidos o cableados, de fibras peinadas, con un contenido de algodón ...|520544 - Hilados de algodón, retorcidos o cableados, de fibras peinadas, con un contenido de algodón ...
2894|520546|Hilados de algodón, retorcidos o cableados, de fibras peinadas, con un contenido de algodón ...|520546 - Hilados de algodón, retorcidos o cableados, de fibras peinadas, con un contenido de algodón ...
